Year,Net fossil fuel,Net Nuclear,Net Renewable,Total,Year,% fossil fuel,% nuclear,% renewable
1949,200965,0,95159,296124,1949,67.9,0.0,32.1
1950,232813,0,101274,334088,1950,69.7,0.0,30.3
1951,270531,0,104767,375298,1951,72.1,0.0,27.9
1952,293640,0,110190,403829,1952,72.7,0.0,27.3
1953,337042,0,110007,447049,1953,75.4,0.0,24.6
1954,364354,0,111903,476258,1954,76.5,0.0,23.5
1955,433786,0,116512,550299,1955,78.8,0.0,21.2
1956,478487,0,125388,603876,1956,79.2,0.0,20.8
1957,501098,10,133535,634642,1957,79.0,0.0,21.0
1958,504497,165,143790,648451,1958,77.8,0.0,22.2
1959,571883,188,141307,713379,1959,80.2,0.0,19.8
1960,609024,518,149614,759156,1960,80.2,0.1,19.7
1961,639676,1692,155756,797124,1961,80.2,0.2,19.5
1962,683430,2270,172244,857944,1962,79.7,0.3,20.1
1963,747530,3212,169286,920028,1963,81.3,0.3,18.4
1964,803222,3343,180653,987218,1964,81.4,0.3,18.3
1965,857287,3657,197442,1058386,1965,81.0,0.3,18.7
1966,943553,5520,198459,1147532,1966,82.2,0.5,17.3
1967,984560,7655,225581,1217796,1967,80.8,0.6,18.5
1968,1093613,12528,226684,1332826,1968,82.1,0.9,17.0
1969,1177127,13928,254403,1445458,1969,81.4,1.0,17.6
1970,1261468,21804,251839,1535111,1970,82.2,1.4,16.4
1971,1307359,38105,270390,1615854,1971,80.9,2.4,16.7
1972,1421175,54091,277712,1752978,1972,81.1,3.1,15.8
1973,1502853,83479,277725,1864057,1973,80.6,4.5,14.9
1974,1449429,113976,306915,1870319,1974,77.5,6.1,16.4
1975,1441660,172505,306590,1920755,1975,75.1,9.0,16.0
1976,1559003,191104,290807,2040914,1976,76.4,9.4,14.2
1977,1648902,250883,227662,2127447,1977,77.5,11.8,10.7
1978,1646193,276403,286780,2209377,1978,74.5,12.5,13.0
1979,1708047,255155,287463,2250665,1979,75.9,11.3,12.8
1980,1753796,251116,284688,2289600,1980,76.6,11.0,12.4
1981,1755401,272674,269899,2297973,1981,76.4,11.9,11.7
1982,1644061,282773,317538,2244372,1982,73.3,12.6,14.1
1983,1678021,293677,341747,2313446,1983,72.5,12.7,14.8
1984,1758882,327634,332950,2419465,1984,72.7,13.5,13.8
1985,1794276,383691,295035,2473002,1985,72.6,15.5,11.9
1986,1770925,414038,305508,2490471,1986,71.1,16.6,12.3
1987,1854895,455270,265123,2575288,1987,72.0,17.7,10.3
1988,1942353,526973,238085,2707411,1988,71.7,19.5,8.8
1989,2108629,529355,325333,2963316,1989,71.2,17.9,11.0
1990,2103620,576862,357238,3037719,1990,69.2,19.0,11.8
1991,2103263,612565,357773,3073601,1991,68.4,19.9,11.6
1992,2138705,618776,326858,3084339,1992,69.3,20.1,10.6
1993,2230741,610291,356707,3197740,1993,69.8,19.1,11.2
1994,2270133,640440,336661,3247233,1994,69.9,19.7,10.4
1995,2293908,673402,384798,3352109,1995,68.4,20.1,11.5
1996,2346018,674729,422958,3443704,1996,68.1,19.6,12.3
1997,2430320,628644,433636,3492600,1997,69.6,18.0,12.4
1998,2547065,673702,400424,3621191,1998,70.3,18.6,11.1
1999,2569670,728254,398959,3696883,1999,69.5,19.7,10.8
2000,2692478,753893,356479,3802850,2000,70.8,19.8,9.4
2001,2677005,768826,287730,3733561,2001,71.7,20.6,7.7
2002,2730166,780064,343438,3853668,2002,70.8,20.2,8.9
2003,2758650,763733,355293,3877676,2003,71.1,19.7,9.2
2004,2824798,788528,351485,3964811,2004,71.2,19.9,8.9
2005,2909522,781986,357651,4049159,2005,71.9,19.3,8.8
2006,2885295,787219,385772,4058286,2006,71.1,19.4,9.5
2007,2992238,806425,352747,4151410,2007,72.1,19.4,8.5
2008,2926731,806208,380932,4113872,2008,71.1,19.6,9.3
2009,2726452,798855,417724,3943030,2009,69.1,20.3,10.6
2010,2883361,806968,427376,4117706,2010,70.0,19.6,10.4
2011,2788867,790204,513336,4092408,2011,68.1,19.3,12.5
2012,2775024,769331,494573,4038929,2012,68.7,19.0,12.2
2013,2745968,789016,522073,4057058,2013,67.7,19.4,12.9
2014,2750573,797166,538579,4086318,2014,67.3,19.5,13.2
2015,2732532,797178,549527,4079236,2015,67.0,19.5,13.5